skin_name,weapon_type,base_price_vp,discount_percent,final_price_vp,region,rank,age_group,avg_monthly_spend,previous_purchases,wishlist_added,event_active,purchased
Gaia,Vandal,1775,20,1420.0,NA,Radiant,16-20,4548,17,0,0,False
Ion,Bucky,1775,20,1420.0,Asia,Silver,26-30,553,12,1,0,True
Gaia,Vandal,1775,20,1420.0,EU,Silver,26-30,4925,7,1,0,True
Evori,Melee,4950,20,3960.0,Asia,Iron,21-25,4770,14,0,0,False
Neptune,Odin,1775,30,1242.5,NA,Bronze,16-20,1400,19,1,1,True
Overdrive,Stinger,2175,30,1522.5,NA,Immortal,21-25,1988,12,1,1,True
Gaia,Vandal,1775,30,1242.5,NA,Diamond,26-30,1521,5,1,1,True
Oni,Bulldog,1775,0,1775.0,EU,Platinum,16-20,2827,17,0,0,False
Spectrum,Phantom,2675,30,1872.4999999999998,EU,Platinum,26-30,3801,18,1,0,True
Glitchpop,Classic,2175,30,1522.5,NA,Radiant,16-20,2439,11,1,1,True
Gaia,Vandal,1775,10,1597.5,EU,Diamond,21-25,1450,14,1,1,True
Neptune,Odin,1775,0,1775.0,Asia,Platinum,16-20,2550,13,1,1,True
Nocturnum,Marshal,2175,10,1957.5,Asia,Bronze,21-25,4378,18,1,0,True
Gaia,Vandal,1775,30,1242.5,EU,Immortal,26-30,1426,10,0,1,True
Neptune,Odin,1775,30,1242.5,NA,Radiant,21-25,960,16,0,0,False
Forsaken,Spectre,1775,20,1420.0,Asia,Bronze,16-20,645,13,1,0,True
Gaia,Vandal,1775,0,1775.0,EU,Diamond,26-30,4264,20,1,1,False
Spectrum,Phantom,2675,20,2140.0,EU,Silver,21-25,3145,5,0,0,False
Prime,Guardian,1775,20,1420.0,Asia,Gold,21-25,2423,18,1,0,True
Neptune,Odin,1775,30,1242.5,Asia,Radiant,16-20,4029,8,0,1,False
Neptune,Odin,1775,0,1775.0,Asia,Diamond,21-25,995,11,1,0,True
Gaia,Vandal,1775,20,1420.0,NA,Silver,16-20,4565,16,1,0,True
Singularity,Ares,2175,10,1957.5,NA,Immortal,21-25,2677,1,1,0,False
Radiant,Ghost,2975,10,2677.5,EU,Radiant,26-30,2270,5,0,0,False
Ora,Sheriff,2475,30,1732.5,Asia,Diamond,21-25,4649,19,1,1,True
Kuronami,Sheriff,2375,10,2137.5,Asia,Platinum,21-25,2293,13,1,1,True
Imperium,Judge,2175,0,2175.0,EU,Silver,16-20,908,14,0,1,False
Neptune,Odin,1775,20,1420.0,Asia,Bronze,26-30,913,6,0,1,False
Elderflame,Frenzy,2475,10,2227.5,Asia,Silver,16-20,1434,6,1,1,True
Forsaken,Spectre,1775,10,1597.5,Asia,Radiant,26-30,4844,11,0,1,True
Araxys,Vandal,2175,20,1740.0,NA,Iron,16-20,2515,3,0,1,False
Radiant,Ghost,2975,10,2677.5,Asia,Immortal,21-25,3671,3,0,0,False
Prime,Guardian,1775,30,1242.5,EU,Platinum,26-30,3498,19,0,0,False
Oni,Bulldog,1775,0,1775.0,NA,Bronze,16-20,4772,4,1,1,False
Spectrum,Phantom,2675,10,2407.5,NA,Platinum,16-20,3855,4,1,1,False
Gaia,Vandal,1775,30,1242.5,EU,Gold,16-20,4237,10,0,1,False
Araxys,Vandal,2175,0,2175.0,EU,Bronze,26-30,1860,0,1,1,False
Kuronami,Sheriff,2375,20,1900.0,NA,Diamond,16-20,3136,8,1,0,True
RGX,Operator,2175,10,1957.5,Asia,Immortal,16-20,4176,14,1,1,False
Overdrive,Stinger,2175,20,1740.0,NA,Immortal,16-20,2870,14,1,1,False
Araxys,Vandal,2175,20,1740.0,Asia,Immortal,16-20,3039,14,0,0,True
Overdrive,Stinger,2175,20,1740.0,NA,Diamond,16-20,1071,12,1,1,True
Neptune,Odin,1775,10,1597.5,Asia,Immortal,26-30,3231,10,0,0,False
Spectrum,Phantom,2675,10,2407.5,NA,Immortal,21-25,643,10,1,0,True
Wasteland,Shorty,1275,30,892.5,NA,Immortal,16-20,823,20,1,1,False
Forsaken,Spectre,1775,0,1775.0,NA,Gold,21-25,1655,0,1,0,False
Oni,Bulldog,1775,0,1775.0,EU,Iron,26-30,3070,10,1,1,False
RGX,Operator,2175,0,2175.0,Asia,Gold,16-20,1871,20,0,0,False
Evori,Melee,4950,30,3465.0,Asia,Immortal,16-20,1135,11,0,0,False
Mystbloom,Outlaw,2175,10,1957.5,EU,Radiant,16-20,671,1,0,1,False
Mystbloom,Outlaw,2175,10,1957.5,Asia,Bronze,16-20,2091,5,0,0,True
Forsaken,Spectre,1775,20,1420.0,Asia,Diamond,26-30,1796,7,1,0,True
Ion,Bucky,1775,10,1597.5,Asia,Platinum,21-25,2517,3,1,0,False
Kuronami,Sheriff,2375,30,1662.5,NA,Immortal,26-30,3364,12,1,0,False
Overdrive,Stinger,2175,20,1740.0,EU,Gold,21-25,3183,15,0,1,False
Radiant,Ghost,2975,20,2380.0,EU,Immortal,21-25,3453,18,1,0,True
Imperium,Judge,2175,0,2175.0,Asia,Bronze,26-30,4738,9,1,0,False
Nocturnum,Marshal,2175,30,1522.5,NA,Iron,26-30,4078,10,0,0,False
Prime,Guardian,1775,20,1420.0,EU,Radiant,16-20,1014,13,1,1,True
Araxys,Vandal,2175,30,1522.5,EU,Platinum,16-20,802,11,0,1,True
Ora,Sheriff,2475,20,1980.0,NA,Bronze,26-30,1879,14,0,0,False
Ion,Bucky,1775,30,1242.5,Asia,Gold,16-20,1861,16,0,0,False
Wasteland,Shorty,1275,30,892.5,EU,Diamond,26-30,1401,16,0,1,True
Elderflame,Frenzy,2475,0,2475.0,NA,Gold,16-20,3545,3,1,0,False
Ion,Bucky,1775,30,1242.5,EU,Diamond,21-25,4384,18,1,1,False
Mystbloom,Outlaw,2175,20,1740.0,NA,Platinum,21-25,1695,14,1,0,True
Nocturnum,Marshal,2175,0,2175.0,NA,Radiant,26-30,1610,2,1,1,True
Reaver,Bandit,1775,0,1775.0,NA,Diamond,21-25,4733,13,1,0,True
Spectrum,Phantom,2675,10,2407.5,NA,Silver,16-20,3797,14,1,0,True
Kuronami,Sheriff,2375,20,1900.0,EU,Diamond,16-20,1539,9,0,0,False
Forsaken,Spectre,1775,10,1597.5,Asia,Iron,16-20,3439,13,0,1,False
Elderflame,Frenzy,2475,10,2227.5,Asia,Gold,16-20,4666,8,0,1,False
Gaia,Vandal,1775,10,1597.5,Asia,Gold,16-20,4808,11,0,0,False
Nocturnum,Marshal,2175,30,1522.5,EU,Immortal,26-30,1325,0,0,1,False
Neptune,Odin,1775,0,1775.0,NA,Immortal,16-20,3689,2,1,0,False
Ora,Sheriff,2475,20,1980.0,EU,Immortal,26-30,1593,12,1,1,True
Oni,Bulldog,1775,20,1420.0,Asia,Immortal,16-20,1624,15,1,0,False
Singularity,Ares,2175,30,1522.5,NA,Platinum,16-20,4941,11,1,1,True
Elderflame,Frenzy,2475,20,1980.0,NA,Gold,16-20,3353,14,1,0,True
Spectrum,Phantom,2675,0,2675.0,Asia,Gold,21-25,1458,15,0,1,False
Spectrum,Phantom,2675,30,1872.4999999999998,NA,Platinum,26-30,2118,14,0,1,False
Evori,Melee,4950,0,4950.0,Asia,Gold,21-25,851,19,1,0,True
RGX,Operator,2175,10,1957.5,EU,Diamond,26-30,2901,15,1,1,False
Araxys,Vandal,2175,0,2175.0,EU,Platinum,26-30,3810,5,0,0,True
Wasteland,Shorty,1275,0,1275.0,NA,Platinum,16-20,2549,0,1,0,True
Mystbloom,Outlaw,2175,20,1740.0,NA,Radiant,16-20,4079,9,0,0,False
Singularity,Ares,2175,20,1740.0,NA,Gold,16-20,3525,6,0,0,False
Oni,Bulldog,1775,20,1420.0,EU,Platinum,26-30,3423,9,0,1,False
Ion,Bucky,1775,10,1597.5,Asia,Bronze,16-20,520,13,1,1,False
Prime,Guardian,1775,10,1597.5,Asia,Iron,21-25,4943,1,0,0,False
Singularity,Ares,2175,10,1957.5,NA,Immortal,16-20,1417,9,0,1,False
Kuronami,Sheriff,2375,20,1900.0,Asia,Diamond,26-30,1351,15,1,1,True
Imperium,Judge,2175,10,1957.5,Asia,Gold,16-20,1598,5,1,1,False
Glitchpop,Classic,2175,0,2175.0,Asia,Platinum,16-20,2798,4,0,1,False
Evori,Melee,4950,20,3960.0,NA,Platinum,21-25,1538,7,1,0,True
Elderflame,Frenzy,2475,20,1980.0,EU,Radiant,16-20,4591,14,0,0,True
Neptune,Odin,1775,10,1597.5,EU,Silver,26-30,2714,15,0,0,False
Kuronami,Sheriff,2375,10,2137.5,NA,Diamond,21-25,4125,18,1,0,True
Evori,Melee,4950,0,4950.0,EU,Iron,21-25,2463,2,0,0,True
Spectrum,Phantom,2675,0,2675.0,EU,Immortal,26-30,2922,2,0,0,False
Araxys,Vandal,2175,10,1957.5,Asia,Iron,26-30,4117,8,0,1,True
Ion,Bucky,1775,0,1775.0,Asia,Immortal,21-25,3309,0,1,0,True
Evori,Melee,4950,10,4455.0,Asia,Platinum,16-20,1858,14,0,0,False
Overdrive,Stinger,2175,0,2175.0,EU,Immortal,16-20,3663,15,0,1,False
Oni,Bulldog,1775,0,1775.0,NA,Iron,26-30,3828,0,0,0,False
Oni,Bulldog,1775,30,1242.5,EU,Immortal,21-25,4061,1,0,0,False
Ion,Bucky,1775,0,1775.0,EU,Gold,26-30,1045,4,0,1,True
Gaia,Vandal,1775,0,1775.0,NA,Silver,26-30,2484,8,0,1,False
Forsaken,Spectre,1775,30,1242.5,Asia,Immortal,21-25,3840,3,0,0,False
Singularity,Ares,2175,10,1957.5,Asia,Platinum,26-30,3880,10,0,1,False
Kuronami,Sheriff,2375,20,1900.0,NA,Radiant,16-20,4124,9,0,0,True
Kuronami,Sheriff,2375,30,1662.5,Asia,Gold,16-20,2224,16,0,1,True
Forsaken,Spectre,1775,20,1420.0,EU,Immortal,21-25,2938,18,0,1,True
Ion,Bucky,1775,0,1775.0,NA,Bronze,26-30,3184,7,1,1,True
Overdrive,Stinger,2175,10,1957.5,Asia,Radiant,16-20,2948,13,1,1,True
Evori,Melee,4950,20,3960.0,NA,Platinum,21-25,2233,10,1,0,True
Imperium,Judge,2175,0,2175.0,NA,Silver,16-20,4238,17,0,1,False
Oni,Bulldog,1775,10,1597.5,Asia,Diamond,26-30,4398,2,1,0,False
Nocturnum,Marshal,2175,30,1522.5,Asia,Silver,21-25,4443,4,0,1,False
Prime,Guardian,1775,20,1420.0,NA,Platinum,16-20,3659,10,0,0,True
Ora,Sheriff,2475,0,2475.0,EU,Platinum,21-25,591,15,0,1,True
Singularity,Ares,2175,30,1522.5,EU,Silver,16-20,3100,11,1,0,True
Gaia,Vandal,1775,30,1242.5,EU,Gold,16-20,1785,17,1,1,True
Gaia,Vandal,1775,20,1420.0,NA,Bronze,16-20,913,13,1,1,True
Kuronami,Sheriff,2375,30,1662.5,Asia,Immortal,21-25,2711,14,0,0,False
Imperium,Judge,2175,0,2175.0,NA,Iron,26-30,3108,18,1,0,False
Spectrum,Phantom,2675,30,1872.4999999999998,NA,Platinum,21-25,1166,12,1,1,False
Ora,Sheriff,2475,0,2475.0,Asia,Gold,21-25,2200,20,1,1,False
Nocturnum,Marshal,2175,10,1957.5,EU,Gold,21-25,3080,18,1,0,True
Spectrum,Phantom,2675,30,1872.4999999999998,NA,Silver,16-20,4238,6,1,1,True
Singularity,Ares,2175,30,1522.5,NA,Immortal,26-30,1994,13,0,0,True
Radiant,Ghost,2975,10,2677.5,NA,Silver,21-25,3501,8,0,0,False
Mystbloom,Outlaw,2175,20,1740.0,EU,Immortal,16-20,1383,14,1,1,False
Radiant,Ghost,2975,10,2677.5,NA,Radiant,21-25,602,2,0,1,True
Ion,Bucky,1775,30,1242.5,NA,Gold,21-25,2052,11,0,0,False
Kuronami,Sheriff,2375,20,1900.0,Asia,Platinum,21-25,634,17,0,0,False
Ora,Sheriff,2475,0,2475.0,Asia,Gold,16-20,3766,15,1,1,False
Neptune,Odin,1775,0,1775.0,Asia,Bronze,21-25,1088,2,1,1,False
Prime,Guardian,1775,0,1775.0,NA,Platinum,16-20,2371,18,1,1,False
Wasteland,Shorty,1275,10,1147.5,NA,Silver,26-30,4797,5,1,0,True
Singularity,Ares,2175,0,2175.0,Asia,Bronze,16-20,3237,20,1,1,False
Forsaken,Spectre,1775,30,1242.5,EU,Silver,16-20,3854,2,1,1,True
Kuronami,Sheriff,2375,20,1900.0,Asia,Diamond,16-20,4323,12,0,0,False
Prime,Guardian,1775,0,1775.0,EU,Gold,26-30,3667,19,0,0,True
Araxys,Vandal,2175,30,1522.5,EU,Diamond,16-20,3230,5,1,1,False
Araxys,Vandal,2175,30,1522.5,EU,Radiant,16-20,1226,4,0,0,False
Nocturnum,Marshal,2175,20,1740.0,EU,Bronze,26-30,1344,6,1,1,True
Oni,Bulldog,1775,0,1775.0,NA,Iron,21-25,1982,9,0,0,True
Singularity,Ares,2175,30,1522.5,NA,Radiant,16-20,4105,20,1,1,True
Araxys,Vandal,2175,30,1522.5,EU,Gold,26-30,3940,14,1,0,True
Evori,Melee,4950,20,3960.0,Asia,Iron,16-20,1841,3,1,0,False
Elderflame,Frenzy,2475,10,2227.5,EU,Diamond,16-20,3485,1,0,1,False
Wasteland,Shorty,1275,0,1275.0,EU,Iron,16-20,2810,14,1,1,False
Ora,Sheriff,2475,20,1980.0,EU,Silver,26-30,2719,3,0,1,False
Oni,Bulldog,1775,10,1597.5,Asia,Diamond,26-30,790,18,1,1,False
Neptune,Odin,1775,20,1420.0,NA,Iron,26-30,4592,8,0,0,False
Forsaken,Spectre,1775,20,1420.0,NA,Diamond,26-30,3183,5,1,1,True
Overdrive,Stinger,2175,0,2175.0,Asia,Radiant,21-25,1599,15,1,1,False
Mystbloom,Outlaw,2175,20,1740.0,EU,Radiant,26-30,4942,8,1,1,True
Forsaken,Spectre,1775,30,1242.5,EU,Immortal,16-20,1252,20,1,1,True
Araxys,Vandal,2175,30,1522.5,Asia,Immortal,16-20,899,4,0,1,False
RGX,Operator,2175,30,1522.5,EU,Iron,21-25,2726,5,0,1,False
Radiant,Ghost,2975,10,2677.5,EU,Gold,16-20,3559,11,1,1,True
Ora,Sheriff,2475,20,1980.0,EU,Radiant,21-25,3450,5,0,0,True
Spectrum,Phantom,2675,20,2140.0,Asia,Platinum,16-20,4404,1,0,0,False
Reaver,Bandit,1775,30,1242.5,EU,Diamond,16-20,2636,20,1,1,True
Imperium,Judge,2175,10,1957.5,Asia,Platinum,16-20,713,0,1,1,True
Mystbloom,Outlaw,2175,0,2175.0,NA,Radiant,21-25,4141,8,0,0,False
Overdrive,Stinger,2175,10,1957.5,EU,Platinum,26-30,1582,7,0,1,False
Neptune,Odin,1775,10,1597.5,NA,Radiant,21-25,1117,1,0,1,False
Reaver,Bandit,1775,10,1597.5,Asia,Immortal,21-25,3442,2,1,0,False
Nocturnum,Marshal,2175,30,1522.5,NA,Radiant,16-20,3939,9,1,1,True
Spectrum,Phantom,2675,30,1872.4999999999998,NA,Iron,26-30,4197,1,0,0,False
Ion,Bucky,1775,20,1420.0,NA,Immortal,26-30,2201,7,0,1,False
Nocturnum,Marshal,2175,30,1522.5,Asia,Immortal,21-25,3132,16,1,1,True
Wasteland,Shorty,1275,0,1275.0,Asia,Immortal,26-30,2331,16,1,1,True
Spectrum,Phantom,2675,30,1872.4999999999998,NA,Diamond,26-30,1347,5,0,0,False
Neptune,Odin,1775,10,1597.5,NA,Silver,16-20,1173,18,0,1,True
Araxys,Vandal,2175,30,1522.5,EU,Bronze,26-30,782,13,1,0,True
Nocturnum,Marshal,2175,30,1522.5,NA,Platinum,16-20,4603,16,0,0,False
Forsaken,Spectre,1775,30,1242.5,EU,Diamond,26-30,2479,16,1,1,True
Kuronami,Sheriff,2375,20,1900.0,Asia,Iron,16-20,4449,8,1,0,True
Imperium,Judge,2175,20,1740.0,EU,Silver,21-25,3832,11,1,0,False
Wasteland,Shorty,1275,30,892.5,EU,Iron,21-25,4510,15,0,1,False
Ion,Bucky,1775,20,1420.0,Asia,Silver,21-25,4341,18,0,1,True
Imperium,Judge,2175,0,2175.0,NA,Bronze,16-20,2785,20,1,0,False
Elderflame,Frenzy,2475,20,1980.0,Asia,Platinum,26-30,3039,1,0,0,False
Oni,Bulldog,1775,0,1775.0,EU,Diamond,21-25,826,14,0,1,False
Overdrive,Stinger,2175,10,1957.5,NA,Bronze,26-30,1956,20,1,0,False
Overdrive,Stinger,2175,20,1740.0,Asia,Bronze,26-30,1439,17,0,0,False
Mystbloom,Outlaw,2175,0,2175.0,EU,Iron,26-30,1327,14,0,1,True
Evori,Melee,4950,0,4950.0,NA,Diamond,21-25,4222,12,0,1,False
Imperium,Judge,2175,10,1957.5,NA,Diamond,16-20,4220,5,0,1,False
Nocturnum,Marshal,2175,0,2175.0,EU,Silver,26-30,1505,13,0,0,False
Gaia,Vandal,1775,10,1597.5,Asia,Diamond,26-30,3055,5,1,1,True
RGX,Operator,2175,20,1740.0,EU,Iron,21-25,3065,0,0,0,True
Singularity,Ares,2175,0,2175.0,EU,Silver,16-20,1711,12,1,0,True
Evori,Melee,4950,20,3960.0,Asia,Gold,21-25,3218,4,1,0,False
Ora,Sheriff,2475,10,2227.5,EU,Gold,21-25,4198,6,1,1,False
RGX,Operator,2175,10,1957.5,EU,Immortal,16-20,4835,11,1,0,False
Overdrive,Stinger,2175,10,1957.5,EU,Diamond,21-25,1506,18,0,1,False
Gaia,Vandal,1775,0,1775.0,EU,Platinum,16-20,1521,12,0,0,False
Ion,Bucky,1775,0,1775.0,EU,Silver,16-20,1552,19,0,0,False
Nocturnum,Marshal,2175,10,1957.5,Asia,Gold,16-20,1495,10,1,1,True
Elderflame,Frenzy,2475,20,1980.0,NA,Immortal,16-20,3428,15,0,1,False
Overdrive,Stinger,2175,20,1740.0,NA,Gold,26-30,1327,18,1,0,True
Gaia,Vandal,1775,20,1420.0,NA,Platinum,26-30,1828,1,1,0,False
Evori,Melee,4950,30,3465.0,EU,Gold,21-25,1075,7,0,0,True
Neptune,Odin,1775,30,1242.5,NA,Iron,26-30,3401,8,0,1,False
Prime,Guardian,1775,30,1242.5,NA,Silver,26-30,1612,17,1,0,True
RGX,Operator,2175,10,1957.5,Asia,Diamond,16-20,1077,8,0,0,False
Forsaken,Spectre,1775,30,1242.5,EU,Radiant,16-20,4088,14,0,0,False
Evori,Melee,4950,10,4455.0,Asia,Gold,16-20,4850,3,1,1,False
Elderflame,Frenzy,2475,20,1980.0,NA,Iron,16-20,3121,15,1,1,True
Glitchpop,Classic,2175,10,1957.5,NA,Bronze,26-30,4396,9,1,0,True
Kuronami,Sheriff,2375,10,2137.5,Asia,Immortal,16-20,1159,10,0,1,False
Glitchpop,Classic,2175,30,1522.5,NA,Radiant,16-20,1720,1,0,1,False
Neptune,Odin,1775,10,1597.5,Asia,Diamond,16-20,1035,9,0,1,False
Imperium,Judge,2175,20,1740.0,NA,Immortal,21-25,2680,9,0,1,False
Nocturnum,Marshal,2175,20,1740.0,EU,Diamond,26-30,1116,11,1,0,False
Evori,Melee,4950,20,3960.0,EU,Radiant,16-20,1294,5,1,0,False
Nocturnum,Marshal,2175,0,2175.0,Asia,Radiant,26-30,1551,11,1,0,False
Wasteland,Shorty,1275,10,1147.5,NA,Bronze,26-30,4839,5,0,1,True
Overdrive,Stinger,2175,20,1740.0,NA,Diamond,21-25,1632,17,0,1,False
Radiant,Ghost,2975,30,2082.5,Asia,Diamond,26-30,4778,20,0,0,False
Singularity,Ares,2175,20,1740.0,Asia,Platinum,16-20,2952,12,1,0,False
Araxys,Vandal,2175,10,1957.5,Asia,Iron,21-25,2969,17,1,0,False
Elderflame,Frenzy,2475,0,2475.0,NA,Radiant,16-20,3721,20,1,0,True
Forsaken,Spectre,1775,30,1242.5,EU,Diamond,16-20,2119,6,1,1,True
Araxys,Vandal,2175,30,1522.5,Asia,Silver,21-25,3540,14,1,1,True
Imperium,Judge,2175,0,2175.0,Asia,Iron,26-30,4609,10,1,1,False
Mystbloom,Outlaw,2175,20,1740.0,Asia,Immortal,21-25,2583,16,0,1,False
RGX,Operator,2175,20,1740.0,NA,Diamond,26-30,4722,14,0,1,False
Ora,Sheriff,2475,30,1732.5,EU,Radiant,26-30,4705,7,0,1,False
Singularity,Ares,2175,30,1522.5,Asia,Diamond,26-30,2408,0,0,1,True
Imperium,Judge,2175,0,2175.0,Asia,Silver,21-25,1076,18,0,0,True
Ora,Sheriff,2475,0,2475.0,Asia,Silver,21-25,3214,12,1,0,False
Prime,Guardian,1775,20,1420.0,NA,Diamond,21-25,3725,3,1,0,False
RGX,Operator,2175,0,2175.0,EU,Bronze,26-30,2337,11,1,0,False
Nocturnum,Marshal,2175,20,1740.0,Asia,Gold,26-30,4161,5,1,1,False
Araxys,Vandal,2175,10,1957.5,NA,Immortal,21-25,3633,8,1,0,True
Evori,Melee,4950,0,4950.0,NA,Iron,21-25,4613,2,0,1,False
RGX,Operator,2175,20,1740.0,NA,Platinum,16-20,3400,4,0,0,False
Prime,Guardian,1775,30,1242.5,Asia,Silver,21-25,4293,6,0,0,False
Evori,Melee,4950,0,4950.0,NA,Silver,21-25,952,0,0,0,False
Spectrum,Phantom,2675,10,2407.5,EU,Bronze,16-20,536,8,0,1,False
RGX,Operator,2175,20,1740.0,EU,Diamond,16-20,3049,16,1,0,False
Radiant,Ghost,2975,20,2380.0,Asia,Diamond,16-20,4527,4,1,0,True
Singularity,Ares,2175,0,2175.0,NA,Immortal,26-30,1601,6,0,1,False
Araxys,Vandal,2175,20,1740.0,NA,Gold,16-20,2236,2,0,1,False
Gaia,Vandal,1775,30,1242.5,EU,Gold,26-30,4132,8,0,0,False
Glitchpop,Classic,2175,30,1522.5,Asia,Radiant,21-25,1674,9,1,1,True
Glitchpop,Classic,2175,10,1957.5,EU,Immortal,16-20,2675,17,0,1,False
Prime,Guardian,1775,10,1597.5,NA,Bronze,16-20,3915,20,1,1,True
RGX,Operator,2175,20,1740.0,Asia,Radiant,16-20,756,6,0,0,False
Araxys,Vandal,2175,10,1957.5,NA,Gold,21-25,1618,4,1,1,False
Singularity,Ares,2175,0,2175.0,NA,Bronze,26-30,4024,2,0,0,False
Araxys,Vandal,2175,20,1740.0,NA,Bronze,16-20,570,19,1,1,False
Araxys,Vandal,2175,0,2175.0,EU,Iron,21-25,1703,6,1,1,True
Nocturnum,Marshal,2175,30,1522.5,NA,Silver,21-25,1987,18,1,0,True
Overdrive,Stinger,2175,10,1957.5,NA,Gold,21-25,4562,3,1,1,False
Overdrive,Stinger,2175,20,1740.0,Asia,Immortal,16-20,2345,4,1,0,True
Oni,Bulldog,1775,20,1420.0,EU,Bronze,16-20,2676,10,1,0,True
Reaver,Bandit,1775,0,1775.0,Asia,Iron,21-25,771,1,1,1,True
Singularity,Ares,2175,30,1522.5,Asia,Silver,16-20,1873,1,1,1,True
Prime,Guardian,1775,20,1420.0,NA,Silver,21-25,4483,19,0,0,False
Gaia,Vandal,1775,10,1597.5,Asia,Bronze,21-25,1009,14,1,0,False
Imperium,Judge,2175,30,1522.5,NA,Iron,21-25,4494,3,1,1,True
Evori,Melee,4950,30,3465.0,Asia,Immortal,16-20,4215,3,1,1,False
Gaia,Vandal,1775,30,1242.5,NA,Diamond,16-20,1261,12,1,0,True
Evori,Melee,4950,0,4950.0,NA,Iron,16-20,3201,11,1,1,False
Radiant,Ghost,2975,30,2082.5,EU,Diamond,21-25,3358,19,1,1,False
Kuronami,Sheriff,2375,30,1662.5,EU,Radiant,26-30,4512,1,0,0,False
Oni,Bulldog,1775,10,1597.5,Asia,Bronze,16-20,3211,1,0,1,False
Nocturnum,Marshal,2175,20,1740.0,NA,Radiant,26-30,1145,4,1,0,True
Ion,Bucky,1775,30,1242.5,EU,Radiant,21-25,4853,17,1,1,True
Glitchpop,Classic,2175,0,2175.0,Asia,Bronze,21-25,2600,16,1,1,True
Forsaken,Spectre,1775,20,1420.0,Asia,Bronze,21-25,2868,7,0,1,True
Mystbloom,Outlaw,2175,30,1522.5,Asia,Bronze,26-30,3205,15,0,0,False
Overdrive,Stinger,2175,20,1740.0,Asia,Bronze,21-25,3860,15,1,0,True
Spectrum,Phantom,2675,30,1872.4999999999998,EU,Bronze,16-20,3410,7,1,1,True
Elderflame,Frenzy,2475,20,1980.0,EU,Bronze,21-25,1854,14,1,0,True
Evori,Melee,4950,20,3960.0,NA,Immortal,21-25,4500,9,1,1,True
Reaver,Bandit,1775,0,1775.0,Asia,Silver,26-30,2074,19,0,0,True
Overdrive,Stinger,2175,30,1522.5,Asia,Immortal,21-25,2486,8,1,0,True
Prime,Guardian,1775,0,1775.0,Asia,Gold,16-20,842,9,1,1,True
Kuronami,Sheriff,2375,30,1662.5,NA,Iron,21-25,4799,9,1,0,True
Spectrum,Phantom,2675,30,1872.4999999999998,NA,Silver,16-20,4930,1,1,0,True
Ora,Sheriff,2475,30,1732.5,Asia,Gold,26-30,3288,4,1,0,False
Gaia,Vandal,1775,20,1420.0,Asia,Immortal,21-25,670,8,1,0,True
Gaia,Vandal,1775,10,1597.5,EU,Iron,26-30,4810,19,1,0,False
Nocturnum,Marshal,2175,20,1740.0,NA,Platinum,26-30,3734,1,1,0,True
Imperium,Judge,2175,0,2175.0,Asia,Iron,21-25,1247,4,1,0,True
Imperium,Judge,2175,20,1740.0,EU,Radiant,21-25,4090,11,0,0,True
Araxys,Vandal,2175,10,1957.5,NA,Platinum,26-30,4774,8,0,0,True
Glitchpop,Classic,2175,0,2175.0,EU,Iron,21-25,4959,2,1,0,True
Prime,Guardian,1775,30,1242.5,Asia,Platinum,26-30,844,2,1,1,False
Overdrive,Stinger,2175,10,1957.5,Asia,Silver,21-25,1089,0,0,0,False
Reaver,Bandit,1775,0,1775.0,NA,Iron,26-30,4412,20,0,0,False
Evori,Melee,4950,10,4455.0,EU,Diamond,21-25,774,18,0,1,False
Mystbloom,Outlaw,2175,0,2175.0,Asia,Diamond,16-20,1899,7,0,0,False
Glitchpop,Classic,2175,10,1957.5,EU,Immortal,26-30,3329,1,0,0,False
Overdrive,Stinger,2175,10,1957.5,NA,Iron,16-20,625,15,1,0,False
Radiant,Ghost,2975,20,2380.0,NA,Bronze,16-20,1040,16,0,1,True
Kuronami,Sheriff,2375,10,2137.5,Asia,Immortal,16-20,3080,19,0,1,False
Elderflame,Frenzy,2475,20,1980.0,NA,Silver,26-30,953,14,1,1,False
Oni,Bulldog,1775,20,1420.0,Asia,Immortal,21-25,4284,10,0,1,False
Forsaken,Spectre,1775,10,1597.5,Asia,Bronze,26-30,2504,2,1,1,True
Kuronami,Sheriff,2375,30,1662.5,EU,Iron,16-20,3360,12,0,0,True
Reaver,Bandit,1775,10,1597.5,Asia,Radiant,21-25,598,19,0,1,False
Radiant,Ghost,2975,20,2380.0,Asia,Platinum,16-20,3553,10,0,1,False
RGX,Operator,2175,20,1740.0,NA,Gold,21-25,942,5,0,0,False
Evori,Melee,4950,20,3960.0,EU,Iron,21-25,1757,12,1,0,True
Imperium,Judge,2175,30,1522.5,NA,Gold,16-20,3254,19,1,0,False
Evori,Melee,4950,20,3960.0,Asia,Bronze,21-25,1664,1,0,1,False
Neptune,Odin,1775,20,1420.0,NA,Gold,26-30,2793,4,0,0,True
Araxys,Vandal,2175,30,1522.5,EU,Immortal,16-20,2655,12,1,1,True
Radiant,Ghost,2975,20,2380.0,EU,Bronze,21-25,4255,5,0,0,True
Araxys,Vandal,2175,10,1957.5,NA,Radiant,16-20,1974,4,0,0,False
Forsaken,Spectre,1775,30,1242.5,NA,Immortal,21-25,4421,20,1,0,False
Singularity,Ares,2175,0,2175.0,EU,Platinum,16-20,1155,16,0,1,False
Mystbloom,Outlaw,2175,10,1957.5,Asia,Platinum,26-30,1961,5,1,0,False
